Sun Apr 29 14:25:44 CEST 2012;0.010807497298046875;8.336365217446552E-4
Sun Apr 29 17:56:29 CEST 2012;0.010840250675520836;0.0012220523741582178
Sun Apr 29 19:18:20 CEST 2012;0.010779945095833332;0.0011777496982064738
Sun Apr 29 20:41:51 CEST 2012;0.010806759672916668;0.0012983005958078638
Sun Apr 29 21:18:31 CEST 2012;0.010916747973958339;7.800489451622351E-4
Sun Apr 29 21:35:34 CEST 2012;0.010817251069401042;9.463217186688015E-4
Mon Apr 30 18:22:04 CEST 2012;0.010128162674739585;8.591221096594591E-4
Mon Apr 30 20:12:03 CEST 2012;0.010542307017057294;0.0016647581160198336
Mon May 07 23:12:11 CEST 2012;1.1658023638712567E-4;1.1285540628055278E-4
Mon May 07 23:27:15 CEST 2012;1.163223400268555E-4;9.721958578318878E-5
Tue May 08 21:35:07 CEST 2012;1.1521799725138347E-4;5.963288661271959E-5
Wed Aug 01 11:09:51 CEST 2012;1.488855583190918E-4;1.1879844498591969E-4
Wed Aug 01 12:51:40 CEST 2012;1.403492495768229E-4;1.8457923018429104E-4
Sat Aug 04 20:40:51 CEST 2012;8.554113543131511E-4;3.110648848830822E-4
